link,title,agencies,start,end,open,notified_open,notified_1week,notified_1day
https://consult.environment.govt.nz/resource-management/hamilton-city-district-plan-provisions/,Consultation on provisions in the Hamilton City Operative District Plan,"Ministry for Cities, Environment, Regions and Transport",2026-08-24T00:00:00+12:00,2026-09-07T00:00:00+12:00,True,True,False,False
https://www.mpi.govt.nz/consultations/reopening-whangarei-harbour-to-recreational-scallop-fishing,Reopening Whangārei Harbour to recreational scallop fishing,Ministry for Primary Industries,2026-08-24T00:00:00+12:00,2026-09-18T00:00:00+12:00,True,True,False,False
https://www.doc.govt.nz/get-involved/have-your-say/all-consultations/2026-consultations/jackson-bay-charters-limited/,Application for a marine mammal viewing permit by Jackson Bay Charters Limited,Department of Conservation,,2026-08-25T00:00:00+12:00,True,True,True,True
https://www.doc.govt.nz/get-involved/have-your-say/all-consultations/2026-consultations/he-kawa-ora-mo-te-papa-kura-o-taranaki/,He Kawa Ora mō Te Papa-Kura-o-Taranaki,Department of Conservation,,,True,True,False,False
https://www.doc.govt.nz/get-involved/have-your-say/all-consultations/2026-consultations/fair-allocation-process-for-limited-supply-aircraft-landings-within-the-kahurangi-national-park/,Fair allocation process for limited supply aircraft landings within the Kahurangi National Park,Department of Conservation,,,True,True,False,False
https://www.doc.govt.nz/get-involved/have-your-say/all-consultations/2024-consultations/proposals-to-modernise-the-conservation-system/,Modernising the conservation system,Department of Conservation,,,True,True,False,False
https://www.doc.govt.nz/get-involved/have-your-say/all-consultations/2024-consultations/exploring-charging-for-access-to-some-public-conservation-land/,Charging for access to some public conservation land,Department of Conservation,,,True,True,False,False
https://www.epa.govt.nz/public-consultations/open-consultations/proposed-ban-on-fenthion-and-propoxur-insecticides/,Proposed ban on fenthion and propoxur insecticides,Environmental Protection Authority,,2026-08-26T00:00:00+12:00,True,True,True,True
https://www.doc.govt.nz/get-involved/have-your-say/all-consultations/2026-consultations/moffatt-brown-tavendale-fountaine/,"Two lease applications by Moffatt, Brown, Tavendale and Fountaine",Department of Conservation,,2026-08-27T00:00:00+12:00,True,True,True,False
https://www.doc.govt.nz/get-involved/have-your-say/all-consultations/2026-consultations/real-journeys-ltd/,Application for a concession by Real Journeys Limited,Department of Conservation,,2026-09-04T00:00:00+12:00,True,True,False,False
https://www.mbie.govt.nz/have-your-say/consultation-on-new-zealand-standard-3604-timber-framed-buildings,Consultation on New Zealand Standard 3604 Timber-framed buildings,"Ministry of Business, Innovation and Employment",,2026-09-08T00:00:00+12:00,True,True,False,False
https://www.mbie.govt.nz/have-your-say/give-feedback-on-the-building-product-specifications-first-edition-amendment-2,Give feedback on the Building Product Specifications – First edition Amendment 2,"Ministry of Business, Innovation and Employment",,2026-09-11T00:00:00+12:00,True,True,False,False
https://www.doc.govt.nz/get-involved/have-your-say/all-consultations/2026-consultations/ministry-for-cities-environment-regions-and-transport/,"Application for a concession at Milford Aerodrome by Ministry for Cities, Environment, Regions and Transport",Department of Conservation,,2026-09-14T00:00:00+12:00,True,True,False,False
https://www.mbie.govt.nz/have-your-say/consultation-on-capital-markets-reform,Consultation on capital markets reforms,"Ministry of Business, Innovation and Employment",,2026-09-15T00:00:00+12:00,True,True,False,False
https://www.doc.govt.nz/get-involved/have-your-say/all-consultations/2026-consultations/fire-and-emergency-new-zealand/,Application by Fire and Emergency New Zealand (FENZ),Department of Conservation,,2026-09-15T00:00:00+12:00,True,True,False,False
https://www.epa.govt.nz/public-consultations/open-consultations/proposed-amendments-to-the-graphic-materials-group-standard/,Proposed amendments to the Graphic Materials Group Standard ,Environmental Protection Authority,,2026-09-29T00:00:00+13:00,True,True,False,False
https://www.mbie.govt.nz/have-your-say/consultation-on-edb,Consultation on options to improve the efficiency of electricity distribution businesses,"Ministry of Business, Innovation and Employment",,2026-09-30T00:00:00+13:00,True,True,False,False
